city,category,window,count,activity_ratio,z_score,trend,stability_score,action,confidence,confidence_score,reason,data_source
boston,sanitation,2026-04-12 13:00:00,6,2.273,1.794,stable,0.333,DEFER,MEDIUM,0.438,"Activity elevated (2.27x baseline, z=+1.8σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-12 19:00:00,6,2.268,1.781,stable,0.833,DEFER,MEDIUM,0.467,"Activity elevated (2.27x baseline, z=+1.8σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-12 19:00:00,1,0.816,-0.184,rising,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-12 19:00:00,4,1.348,0.588,rising,0.5,DEFER,MEDIUM,0.516,"Activity elevated (1.35x baseline, z=+0.6σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-12 19:00:00,1,0.585,-0.511,stable,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-12 19:00:00,1,0.365,-0.93,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-13 01:00:00,2,0.763,-0.333,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-13 01:00:00,2,1.51,0.503,falling,0.5,DEFER,LOW,0.213,"Activity elevated (1.51x baseline, z=+0.5σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,noise,2026-04-13 01:00:00,0,0.0,-1.68,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-13 01:00:00,1,0.587,-0.514,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-13 01:00:00,0,0.0,-1.473,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-13 07:00:00,0,0.0,-1.305,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-13 07:00:00,0,0.0,-0.917,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-13 07:00:00,0,0.0,-1.526,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-13 07:00:00,0,0.0,-1.176,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-13 07:00:00,0,0.0,-1.327,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-13 13:00:00,2,0.845,-0.207,rising,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-13 13:00:00,0,0.0,-0.879,rising,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-13 13:00:00,6,2.279,1.933,rising,0.333,DEFER,MEDIUM,0.569,"Activity elevated (2.28x baseline, z=+1.9σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-13 13:00:00,0,0.0,-1.123,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-13 13:00:00,0,0.0,-1.29,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-13 19:00:00,1,0.433,-0.739,stable,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-13 19:00:00,0,0.0,-0.835,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-13 19:00:00,6,2.292,1.956,stable,0.167,DEFER,MEDIUM,0.587,"Activity elevated (2.29x baseline, z=+2.0σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-13 19:00:00,2,1.549,0.588,rising,0.167,DEFER,LOW,0.399,"Activity elevated (1.55x baseline, z=+0.6σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,sanitation,2026-04-13 19:00:00,2,0.924,-0.099,rising,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-14 01:00:00,0,0.0,-1.272,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-14 01:00:00,0,0.0,-0.821,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-14 01:00:00,0,0.0,-1.508,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-14 01:00:00,1,0.772,-0.248,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-14 01:00:00,0,0.0,-1.352,falling,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-14 07:00:00,1,0.493,-0.62,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-14 07:00:00,1,1.0,0.075,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-14 07:00:00,1,0.409,-0.851,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-14 07:00:00,0,0.0,-1.047,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-14 07:00:00,1,0.489,-0.648,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-14 13:00:00,3,1.5,0.618,rising,0.333,DEFER,LOW,0.392,"Activity elevated (1.50x baseline, z=+0.6σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-14 13:00:00,4,4.0,2.663,rising,0.167,DEFER,MEDIUM,0.647,"Activity elevated (4.00x baseline, z=+2.7σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,noise,2026-04-14 13:00:00,3,1.217,0.307,rising,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-14 13:00:00,0,0.0,-1.056,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-14 13:00:00,2,0.967,-0.043,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-14 19:00:00,1,0.503,-0.623,stable,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-14 19:00:00,0,0.0,-0.793,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-14 19:00:00,4,1.58,0.848,rising,0.667,DEFER,MEDIUM,0.434,"Activity elevated (1.58x baseline, z=+0.8σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-14 19:00:00,0,0.0,-1.053,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-14 19:00:00,4,1.904,1.166,stable,0.667,DEFER,LOW,0.382,"Activity elevated (1.90x baseline, z=+1.2σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-15 01:00:00,0,0.0,-1.232,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-15 01:00:00,1,1.0,0.09,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-15 01:00:00,1,0.399,-0.882,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-15 01:00:00,1,0.885,-0.114,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-15 01:00:00,1,0.491,-0.647,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-15 07:00:00,0,0.0,-1.179,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-15 07:00:00,0,0.0,-0.726,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-15 07:00:00,0,0.0,-1.405,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-15 07:00:00,0,0.0,-0.956,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-15 07:00:00,0,0.0,-1.229,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-15 13:00:00,1,0.571,-0.496,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-15 13:00:00,1,1.0,0.132,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-15 13:00:00,4,1.68,0.939,stable,0.5,DEFER,LOW,0.349,"Activity elevated (1.68x baseline, z=+0.9σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-15 13:00:00,2,1.764,0.77,rising,0.833,DEFER,MEDIUM,0.431,"Activity elevated (1.76x baseline, z=+0.8σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,sanitation,2026-04-15 13:00:00,1,0.497,-0.625,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-15 19:00:00,2,1.126,0.147,rising,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-15 19:00:00,1,1.0,0.108,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-15 19:00:00,2,0.834,-0.233,stable,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-15 19:00:00,1,0.88,-0.121,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-15 19:00:00,4,1.99,1.246,stable,0.333,DEFER,LOW,0.395,"Activity elevated (1.99x baseline, z=+1.2σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-16 01:00:00,0,0.0,-1.176,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-16 01:00:00,0,0.0,-0.751,stable,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-16 01:00:00,0,0.0,-1.391,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-16 01:00:00,0,0.0,-1.009,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-16 01:00:00,0,0.0,-1.259,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-16 07:00:00,0,0.0,-1.143,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-16 07:00:00,0,0.0,-0.725,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-16 07:00:00,2,0.865,-0.184,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-16 07:00:00,1,0.92,-0.078,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-16 07:00:00,1,0.518,-0.594,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-16 13:00:00,3,1.788,0.891,stable,0.167,DEFER,LOW,0.335,"Activity elevated (1.79x baseline, z=+0.9σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-16 13:00:00,1,1.0,0.144,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-16 13:00:00,2,0.849,-0.208,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-16 13:00:00,3,2.689,1.68,stable,0.5,DEFER,MEDIUM,0.5,"Activity elevated (2.69x baseline, z=+1.7σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,sanitation,2026-04-16 13:00:00,2,1.025,0.031,rising,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-16 19:00:00,3,1.748,0.867,stable,0.5,DEFER,MEDIUM,0.445,"Activity elevated (1.75x baseline, z=+0.9σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-16 19:00:00,2,2.0,1.033,stable,0.333,DEFER,LOW,0.367,"Activity elevated (2.00x baseline, z=+1.0σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,noise,2026-04-16 19:00:00,5,2.131,1.573,stable,0.333,DEFER,MEDIUM,0.416,"Activity elevated (2.13x baseline, z=+1.6σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-16 19:00:00,1,0.87,-0.132,stable,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-16 19:00:00,3,1.549,0.679,rising,0.5,DEFER,LOW,0.399,"Activity elevated (1.55x baseline, z=+0.7σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-17 01:00:00,2,1.152,0.178,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-17 01:00:00,1,1.0,0.165,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-17 01:00:00,4,1.673,0.951,falling,0.5,DEFER,LOW,0.384,"Activity elevated (1.67x baseline, z=+1.0σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-17 01:00:00,0,0.0,-1.006,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-17 01:00:00,1,0.516,-0.606,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-17 07:00:00,2,1.173,0.202,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-17 07:00:00,1,1.0,0.19,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-17 07:00:00,3,1.295,0.408,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-17 07:00:00,0,0.0,-0.966,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-17 07:00:00,2,1.069,0.085,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-17 13:00:00,2,1.155,0.185,rising,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-17 13:00:00,1,1.0,0.196,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-17 13:00:00,2,0.861,-0.193,stable,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-17 13:00:00,0,0.0,-0.952,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-17 13:00:00,4,2.125,1.385,stable,0.5,DEFER,MEDIUM,0.415,"Activity elevated (2.12x baseline, z=+1.4σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-17 19:00:00,7,4.004,3.612,rising,0.5,DEFER,MEDIUM,0.677,"Activity elevated (4.00x baseline, z=+3.6σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-17 19:00:00,2,2.0,1.065,rising,0.5,DEFER,MEDIUM,0.467,"Activity elevated (2.00x baseline, z=+1.1σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,noise,2026-04-17 19:00:00,3,1.298,0.41,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-17 19:00:00,1,0.938,-0.058,rising,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-17 19:00:00,4,2.083,1.352,stable,0.667,DEFER,MEDIUM,0.526,"Activity elevated (2.08x baseline, z=+1.4σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-18 01:00:00,1,0.555,-0.542,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-18 01:00:00,0,0.0,-0.702,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-18 01:00:00,0,0.0,-1.383,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-18 01:00:00,1,0.918,-0.078,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-18 01:00:00,3,1.514,0.653,stable,0.667,DEFER,MEDIUM,0.527,"Elevated activity (1.51x baseline) confirmed across 3 windows, but below ACT threshold (1.75x). Monitoring for escalation.",synthetic
boston,housing,2026-04-18 07:00:00,0,0.0,-1.2,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-18 07:00:00,0,0.0,-0.678,stable,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-18 07:00:00,1,0.443,-0.756,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-18 07:00:00,0,0.0,-0.937,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-18 07:00:00,1,0.514,-0.612,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-18 13:00:00,4,2.202,1.471,rising,0.833,DEFER,MEDIUM,0.527,"Activity elevated (2.20x baseline, z=+1.5σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-18 13:00:00,0,0.0,-0.681,stable,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-18 13:00:00,4,1.765,1.044,rising,0.5,DEFER,MEDIUM,0.431,"Activity elevated (1.77x baseline, z=+1.0σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-18 13:00:00,0,0.0,-0.953,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-18 13:00:00,4,2.061,1.333,stable,0.333,DEFER,MEDIUM,0.406,"Activity elevated (2.06x baseline, z=+1.3σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-18 19:00:00,5,2.726,2.132,falling,0.333,DEFER,MEDIUM,0.572,"Activity elevated (2.73x baseline, z=+2.1σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-18 19:00:00,2,2.0,1.092,stable,0.5,DEFER,LOW,0.397,"Activity elevated (2.00x baseline, z=+1.1σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,noise,2026-04-18 19:00:00,2,0.854,-0.203,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-18 19:00:00,2,1.813,0.787,rising,0.833,DEFER,MEDIUM,0.439,"Activity elevated (1.81x baseline, z=+0.8σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,sanitation,2026-04-18 19:00:00,10,4.986,5.129,rising,1.0,DEFER,HIGH,0.823,"Activity elevated (4.99x baseline, z=+5.1σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,housing,2026-04-19 01:00:00,0,0.0,-1.254,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-19 01:00:00,1,1.0,0.183,falling,0.333,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-19 01:00:00,0,0.0,-1.397,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-19 01:00:00,0,0.0,-0.957,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-19 01:00:00,0,0.0,-1.302,falling,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-19 07:00:00,0,0.0,-1.231,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,infrastructure,2026-04-19 07:00:00,0,0.0,-0.707,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-19 07:00:00,1,0.434,-0.782,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-19 07:00:00,0,0.0,-0.932,falling,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-19 07:00:00,1,0.488,-0.655,rising,0.0,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-19 13:00:00,3,1.659,0.809,rising,0.333,DEFER,MEDIUM,0.416,"Activity elevated (1.66x baseline, z=+0.8σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-19 13:00:00,1,1.0,0.171,rising,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-19 13:00:00,3,1.29,0.402,stable,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,parking,2026-04-19 13:00:00,0,0.0,-0.946,falling,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,sanitation,2026-04-19 13:00:00,1,0.484,-0.669,rising,0.5,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-19 19:00:00,6,3.289,2.839,rising,0.5,DEFER,HIGH,0.763,"Activity elevated (3.29x baseline, z=+2.8σ) but stability not yet confirmed (2/3 windows). Awaiting further evidence.",synthetic
boston,infrastructure,2026-04-19 19:00:00,0,0.0,-0.745,stable,0.667,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,noise,2026-04-19 19:00:00,9,3.819,3.987,rising,0.667,DEFER,HIGH,0.737,"Activity elevated (3.82x baseline, z=+4.0σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,parking,2026-04-19 19:00:00,3,2.816,1.709,rising,0.5,DEFER,MEDIUM,0.589,"Activity elevated (2.82x baseline, z=+1.7σ) but stability not yet confirmed (1/3 windows). Awaiting further evidence.",synthetic
boston,sanitation,2026-04-19 19:00:00,1,0.48,-0.676,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
boston,housing,2026-04-20 01:00:00,0,0.0,-1.261,falling,0.167,WAIT,LOW,0.1,Activity is at or below baseline. No evidence of stress.,synthetic
